,regdate,trevenue,tcount,shipfee,lrevenue,lcount,lshipfee,NBR,NPBR,OBR,PBR,nrevenue,nshipfee,NBRp,NPBRp,OBRp,PBRp,regdate_week,regdate_month
96,2024-06-05,1958653,22,6000.0,0.0,0.0,0.0,0.0,0.3084779375309866,0.6744670302429351,0.017055032226078334,1958653.0,6000.0,0.0,602350.3701536936,1317000.070004958,33302.559841348535,2024-06-03,2024-06-01
95,2024-06-04,7941855,92,15000.0,361500.0,5.0,0.0,0.0,0.1909697663353095,0.8039891462301153,0.005041087434575172,7580355.0,15000.0,0.0,1444754.0765936654,6082463.307377734,38137.61602860045,2024-06-03,2024-06-01
94,2024-06-03,10005584,122,30000.0,87000.0,1.0,0.0,0.018617021276595744,0.302876280535855,0.6522261623325453,0.02628053585500394,9918584.0,30000.0,184095.97872340426,2995017.5416863672,6449593.19322301,259877.28636721827,2024-06-03,2024-06-01
93,2024-06-02,6200005,72,21000.0,270000.0,3.0,0.0,0.0,0.4830745652029053,0.4756113813553675,0.04131405344172719,5930005.0,21000.0,0.0,2854490.0211567935,2810390.0304857735,244124.9483574332,2024-05-27,2024-06-01
92,2024-06-01,1146992,15,15000.0,572092.0,6.0,0.0,0.20510578772512678,0.34359153698198985,0.0,0.45130267529288337,574900.0,15000.0,114838.73054729849,192376.90155621612,0.0,252684.3678964854,2024-05-27,2024-06-01
91,2024-05-31,1262402,16,9000.0,368700.0,4.0,0.0,0.3164656271452388,0.560458958517211,0.0,0.12307541433755026,893702.0,9000.0,279977.77326664707,495839.16151809355,0.0,108885.06521525938,2024-05-27,2024-05-01
90,2024-05-30,1324073,18,15000.0,654307.0,8.0,0.0,0.0,0.6344910539768456,0.0,0.3655089460231544,669766.0,15000.0,0.0,415443.1694482033,0.0,239322.83055179674,2024-05-27,2024-05-01
89,2024-05-29,737295,7,6000.0,506795.0,3.0,0.0,0.0,0.44097995545657015,0.0,0.5590200445434298,230500.0,6000.0,0.0,99000.0,0.0,125499.99999999999,2024-05-27,2024-05-01
88,2024-05-28,998118,13,12000.0,255500.0,3.0,3000.0,0.0,0.3531375166889186,0.0,0.6468624833110814,742618.0,9000.0,0.0,259068.03871829106,0.0,474549.9612817089,2024-05-27,2024-05-01
87,2024-05-27,2311580,39,48000.0,187753.0,3.0,0.0,0.5358454567135702,0.2621035058430718,0.0,0.20205103744335798,2123827.0,48000.0,1112322.4668733603,544081.5342237062,0.0,419422.99890293344,2024-05-27,2024-05-01
86,2024-05-26,1091850,11,9000.0,555950.0,5.0,0.0,0.0,0.9200968523002422,0.0,0.07990314769975787,535900.0,9000.0,0.0,484799.0314769976,0.0,42100.96852300242,2024-05-20,2024-05-01
85,2024-05-25,1142762,16,21000.0,183862.0,4.0,6000.0,0.07084916315843516,0.5164801314303317,0.08204127733853578,0.3306294280726974,958900.0,15000.0,66874.52510524695,487505.59605709004,77438.76167984393,312081.1171578191,2024-05-20,2024-05-01
84,2024-05-24,1308220,18,18000.0,382198.0,6.0,3000.0,0.0,0.5315845824411135,0.0,0.4684154175588865,926022.0,15000.0,0.0,484285.2494646681,0.0,426736.7505353319,2024-05-20,2024-05-01
